Simulation results:

Arrival Rate	Average Waiting Time	Average Queue Length
1	9.81112e-05	9.81335e-05
2	0.00020417	0.000408592
3	0.00030917	0.00092746
4	0.000413142	0.00165076
5	0.000519407	0.00259503
6	0.000641087	0.00384015
7	0.000754664	0.00528168
8	0.000863584	0.00691587
9	0.000992616	0.00893059
10	0.00110921	0.01108
11	0.00123437	0.0135497
12	0.00135848	0.0163141
13	0.00149419	0.0194539
14	0.0016314	0.0228302
15	0.00176812	0.0265388
16	0.00188878	0.0302387
17	0.00204585	0.034798
18	0.00219163	0.0394078
19	0.00234332	0.0445481
20	0.00248209	0.0496971
21	0.00265619	0.055802
22	0.00280981	0.0618406
23	0.00298788	0.0688368
24	0.00315576	0.0756922
25	0.00332677	0.0831426
26	0.00355758	0.0925347
27	0.0037059	0.100003
28	0.00386264	0.107987
29	0.00405258	0.117529
30	0.00427529	0.128269
31	0.00448725	0.13908
32	0.0047048	0.150368
33	0.00491308	0.161959
34	0.00515108	0.175007
35	0.00540514	0.189212
36	0.00563458	0.202922
37	0.0058761	0.217442
38	0.00611758	0.232583
39	0.00637008	0.248257
40	0.00664377	0.265415
41	0.00691237	0.283633
42	0.00717327	0.300787
43	0.00750416	0.323011
44	0.00785307	0.345677
45	0.00820415	0.369509
46	0.00850741	0.391604
47	0.00883486	0.41489
48	0.00922566	0.442542
49	0.00956171	0.468721
50	0.00994327	0.497487
51	0.0102802	0.524388
52	0.0107426	0.558515
53	0.0111962	0.593348
54	0.011573	0.624777
55	0.0119882	0.658007
56	0.0125476	0.701335
57	0.0130806	0.745029
58	0.0135168	0.782589
59	0.0139088	0.8192
60	0.0145033	0.868563
61	0.015082	0.917664
62	0.015691	0.971385
63	0.0164646	1.0338
64	0.0167651	1.07006
65	0.0176448	1.14421
66	0.0183611	1.20732
67	0.0190156	1.26894
68	0.0195578	1.32332
69	0.020336	1.39569
70	0.0212681	1.48104
71	0.021913	1.54591
72	0.0226099	1.61446
73	0.0234115	1.69533
74	0.0242411	1.77574
75	0.0250007	1.8512
76	0.0260524	1.9567
77	0.0269991	2.04982
78	0.0277531	2.13183
79	0.0283831	2.20652
80	0.029756	2.33447
81	0.0304406	2.41518
82	0.0317986	2.54934
83	0.0328855	2.66277
84	0.0333846	2.73312
85	0.0345225	2.84764
86	0.0355636	2.96434
87	0.0367417	3.08277
88	0.0375985	3.18375
89	0.0384545	3.2827
90	0.0395536	3.40731
91	0.0406153	3.5227
92	0.0417926	3.64171
93	0.0428726	3.77012
94	0.0440385	3.89555
95	0.0447823	3.99152
96	0.0460292	4.12979
97	0.0469216	4.23271
98	0.0480016	4.34987
99	0.0489915	4.4758

Analytical Results:
Arrival Rate	Analytical Waiting Time	Analytical Queue Length	Traffic Intensity
1	0.010101	0.01
2	0.0204082	0.02
3	0.0309278	0.03
4	0.0416667	0.04
5	0.0526316	0.05
6	0.0638298	0.06
7	0.0752688	0.07
8	0.0869565	0.08
9	0.0989011	0.09
10	0.111111	0.1
11	0.123596	0.11
12	0.136364	0.12
13	0.149425	0.13
14	0.162791	0.14
15	0.176471	0.15
16	0.190476	0.16
17	0.204819	0.17
18	0.219512	0.18
19	0.234568	0.19
20	0.25	0.2
21	0.265822	0.21
22	0.282051	0.22
23	0.2987	0.23
24	0.315788	0.24
25	0.333331	0.25
26	0.351347	0.26
27	0.369857	0.27
28	0.38888	0.28
29	0.408437	0.29
30	0.428552	0.3
31	0.449247	0.31
32	0.470549	0.32
33	0.492482	0.33
34	0.515074	0.34
35	0.538355	0.35
36	0.562355	0.36
37	0.587106	0.37
38	0.612641	0.38
39	0.638995	0.39
40	0.666205	0.4
41	0.69431	0.41
42	0.723349	0.42
43	0.753364	0.43
44	0.784398	0.44
45	0.816496	0.45
46	0.849705	0.46
47	0.884072	0.47
48	0.919648	0.48
49	0.956482	0.49
50	0.994626	0.5
51	1.03413	0.51
52	1.07506	0.52
53	1.11745	0.53
54	1.16138	0.54
55	1.20688	0.55
56	1.25401	0.56
57	1.30283	0.57
58	1.3534	0.58
59	1.40575	0.59
60	1.45995	0.6
61	1.51603	0.61
62	1.57404	0.62
63	1.63402	0.63
64	1.69601	0.64
65	1.76003	0.65
66	1.82612	0.66
67	1.8943	0.67
68	1.96457	0.68
69	2.03695	0.69
70	2.11144	0.7
71	2.18803	0.71
72	2.2667	0.72
73	2.34743	0.73
74	2.43018	0.74
75	2.51493	0.75
76	2.6016	0.76
77	2.69015	0.77
78	2.78051	0.78
79	2.87259	0.79
80	2.96631	0.8
81	3.06158	0.81
82	3.15829	0.82
83	3.25633	0.83
84	3.35559	0.84
85	3.45594	0.85
86	3.55725	0.86
87	3.6594	0.87
88	3.76224	0.88
89	3.86563	0.89
90	3.96944	0.9
91	4.07352	0.91
92	4.17774	0.92
93	4.28195	0.93
94	4.38601	0.94
95	4.48979	0.95
96	4.59316	0.96
97	4.69598	0.97
98	4.79814	0.98
99	4.89952	0.99
